featureid	rab.all	rab.win.TMR	rab.win.Trt	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	BS	Treatment
Methanomethylophilaceae_uncl|d2f4c2e460ea27e6b4b45e72bd385f51	1.88139453976587	0.806400531792915	2.64503047806038	1.7736711421609097	1.14828460872796	1.47761541127884	0.0662773579261915	0.00130000149637357	0.0337163451932229	0.0021246114996115	0.0522669604700855	FL	Trt4
Methanomethylophilaceae_uncl|9af52a9758c50a5a0cdfc9eb06d55d6f	4.03928905813676	2.9981311401590895	4.862286957423481	1.6483229971429199	1.409579806411	1.25300146939455	0.0917972641136049	0.00289432793566463	0.0392777789086667	0.00576923076923077	0.0666225759194509	FL	Trt5
Methanimicrococcus_unid_methanogen|48e85a9a857b4a2519ae19161151bd77	-3.4945746978057795	-8.16975430273311	0.0926264953700198	9.53971377742554	4.38962672739887	2.12668957702923	0.00013705627678544099	9.540664476776891e-05	0.00282110853288707	0.000156614219114219	0.00485504079254079	FL	Trt5
Methanomethylophilaceae_uncl|d2f4c2e460ea27e6b4b45e72bd385f51	1.67607270770759	0.8283485457760079	2.26179916163113	1.3283855446543402	1.13416161601603	1.13612445983676	0.0957034962571509	0.00544516249821743	0.0565335042675237	0.00636290792540793	0.0693405205905206	FL	Trt5
Methanomethylophilaceae|898c387af1af6f5578d717b5d09aa6e2	2.08084117300458	1.24180830154773	2.3111201842051297	1.30410937473982	1.17010897961477	1.06974247502645	0.148437721033501	0.0100647428572865	0.0550001923514288	0.0212400446775447	0.0877281323824884	E	Trt3
Methanomethylophilaceae_uncl|9af52a9758c50a5a0cdfc9eb06d55d6f	3.08856929081942	2.05709085596898	3.82415818113055	1.55989689917249	0.94556001906582	1.6407054520346298	0.0429696331832703	0.000362011010573666	0.00585561303122226	0.00109387140637141	0.0106995435120435	E	Trt3
Methanomicrobium|37c03b396436fff90b9707c1892c3990	5.46895651515769	4.40256570121375	5.686897501749639	1.30669000766923	1.6336102682170002	0.803621977845453	0.21679700755248896	0.0260684929901184	0.0978294659339145	0.0682182400932401	0.19085944187366397	E	Trt3
Methanomethylophilaceae_uncl|d2f4c2e460ea27e6b4b45e72bd385f51	0.934275469188208	0.517863256676291	1.48557056020551	1.02049614222033	0.532940420925324	1.8308839754915902	0.0233934640071253	0.000355052958341119	0.0055412075275426105	0.000723581973581974	0.0078525641025641	E	Trt3
Methanomethylophilaceae_uncl|8b4b094482e24d7425ab5d6c972aab4c	-0.0782655074967216	-1.6018301717475398	1.13679876267271	2.78588678533024	4.409022468517151	1.53020883845439	0.00013705627678544099	0.0152916022667997	0.0700700316044778	0.000155400155400155	0.0034617003367003398	E	Trt3
Methanomethylophilaceae_uncl|c795ee00534258677d0fb6e390f08c1d	-2.9007348008028297	-2.14371230326742	-6.4030096330527195	-4.39570561478913	4.40103737763455	-1.02183491194205	0.15204699727075596	0.0104757814878784	0.0554973513696226	0.0252840909090909	0.106751489251489	E	Trt3
